method,env_steps,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,unsafe_rate_mean,unsafe_rate_std,mean_return_mean,mean_return_std,obstacle_success_rate_mean,obstacle_success_rate_std
pure_ppo,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.888619678514136,0.18048238949337472,0.0,0.0
pure_ppo,50000,0.006172839506172839,0.010691671651659736,0.271604938271605,0.2388338533599149,0.271604938271605,0.2388338533599149,-3.7431449072278427,3.794321772152724,0.0,0.0
pure_ppo,100000,0.14814814814814814,0.04899539464934427,0.1728395061728395,0.2209324712120158,0.1728395061728395,0.2209324712120158,0.6173386651343499,2.5364538758733124,0.0,0.0
pure_ppo,150000,0.21604938271604937,0.07010997957778116,0.16049382716049385,0.10850861624226509,0.16049382716049385,0.10850861624226509,3.0878816963300104,3.0448126088887886,0.0,0.0
pure_ppo,200000,0.2037037037037037,0.018518518518518517,0.2037037037037037,0.018518518518518517,0.2037037037037037,0.018518518518518517,2.0581386797967736,0.6669924333713959,0.0,0.0
pure_ppo,250000,0.19753086419753085,0.04660391626710339,0.25925925925925924,0.14463425325753065,0.25925925925925924,0.14463425325753065,0.5643598472324244,2.7648599595965067,0.0,0.0
pure_ppo,300000,0.19135802469135801,0.08350462505227584,0.17901234567901234,0.0932078325342068,0.17901234567901234,0.0932078325342068,2.4564663620795533,3.5236644292242167,0.0,0.0
pure_ppo,350000,0.16666666666666666,0.032075014954979206,0.2098765432098765,0.07484170156161815,0.2098765432098765,0.07484170156161815,1.395445945045943,2.1500766304773156,0.0,0.0
pure_ppo,400000,0.12962962962962962,0.07407407407407407,0.2962962962962963,0.25925925925925924,0.2962962962962963,0.25925925925925924,-1.2759725527939085,5.93673171932284,0.0,0.0
pure_ppo,450000,0.2037037037037037,0.06415002990995841,0.2839506172839506,0.2527851262894231,0.2839506172839506,0.2527851262894231,0.6338311877645498,4.815011398894564,0.0,0.0
pure_ppo,500000,0.25925925925925924,0.055555555555555566,0.3395061728395061,0.2698455925233876,0.3395061728395061,0.2698455925233876,1.1758864622457645,5.812054684399268,0.0,0.0
diffusion_ppo,0,0.6851851851851852,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,17.90953378159614,0.0,0.5555555555555556,0.0
diffusion_ppo,50000,0.5617283950617284,0.02828750428985082,0.19753086419753085,0.028287504289850864,0.19753086419753085,0.028287504289850864,14.525846109525006,1.2989915735165947,0.3796296296296296,0.04243125643477631
diffusion_ppo,100000,0.5185185185185185,0.08486251286955264,0.22839506172839505,0.07484170156161817,0.22839506172839505,0.07484170156161817,12.580937291002655,3.4662394566205257,0.34259259259259256,0.11226255234242723
diffusion_ppo,150000,0.5740740740740741,0.048995394649344305,0.24691358024691357,0.0534583582582987,0.24691358024691357,0.0534583582582987,13.365053223912108,1.8744772912089689,0.3888888888888889,0.07349309197401638
diffusion_ppo,200000,0.5493827160493828,0.05345835825829873,0.24074074074074073,0.03703703703703705,0.24074074074074073,0.03703703703703705,13.057063397643637,2.038241607229163,0.3611111111111111,0.07349309197401639
diffusion_ppo,250000,0.4506172839506173,0.11905741680238217,0.29629629629629634,0.03207501495497919,0.29629629629629634,0.03207501495497919,9.522247894432466,3.227151391838448,0.23148148148148148,0.13127265628479468
diffusion_ppo,300000,0.37654320987654327,0.02828750428985085,0.3395061728395062,0.03854937036048394,0.3395061728395062,0.03854937036048394,6.688883417566341,1.7075883947606831,0.1851851851851852,0.05782405554072591
diffusion_ppo,350000,0.4197530864197531,0.021383343303319473,0.3333333333333333,0.037037037037037035,0.3333333333333333,0.037037037037037035,7.752360618038529,1.3670373884888285,0.24074074074074073,0.0699058744006551
diffusion_ppo,400000,0.35802469135802467,0.07484170156161815,0.29012345679012347,0.10199204717196486,0.29012345679012347,0.10199204717196486,7.362814671106736,3.7035019741851927,0.23148148148148148,0.0699058744006551
diffusion_ppo,450000,0.2777777777777778,0.07407407407407408,0.3333333333333333,0.09259259259259259,0.3333333333333333,0.09259259259259259,4.411057900455215,3.4792265491840455,0.12037037037037036,0.04243125643477629
diffusion_ppo,500000,0.27777777777777773,0.1697250257391052,0.35185185185185186,0.09799078929868854,0.35802469135802467,0.10530075376069124,4.001977049939858,6.324252761455096,0.16666666666666666,0.13888888888888892
